x,y,r,g,b,cluster,cluster_cluster
70.0,518.0,208,92,165,7496,4
358.0,526.0,211,91,166,7496,4
126.0,530.0,204,43,176,8642,4
778.0,530.0,46,65,24,5745,9
786.0,530.0,48,66,22,5745,9
132.0,536.0,74,49,33,5528,16
130.0,546.0,69,48,34,5528,16
2.0,550.0,175,145,103,11386,14
308.0,552.0,114,23,104,7508,13
264.0,554.0,219,128,154,9272,17
414.0,556.0,210,93,165,7496,4
270.0,558.0,204,42,175,8642,4
414.0,558.0,212,92,167,7496,4
154.0,568.0,188,138,97,11252,2
62.0,572.0,116,24,102,7508,13
8.0,592.0,190,27,173,1957,4
98.0,610.0,114,25,102,7508,13
354.0,616.0,71,48,34,5528,16
684.0,618.0,49,65,22,5745,9
88.0,620.0,36,80,28,12197,9
198.0,624.0,203,43,174,8642,4
722.0,628.0,35,82,30,12197,9
330.0,634.0,45,65,25,5745,9
286.0,640.0,206,43,174,8642,4
696.0,640.0,36,79,28,12197,9
698.0,646.0,36,80,29,12197,9
306.0,656.0,34,52,36,8763,9
810.0,656.0,37,82,28,12197,9
812.0,656.0,37,83,29,12197,9
94.0,662.0,113,27,105,7508,13
268.0,662.0,205,42,176,8642,4
392.0,662.0,217,128,158,9272,17
336.0,664.0,47,66,24,5745,9
684.0,672.0,36,82,30,12197,9
684.0,674.0,36,81,30,12197,9
58.0,678.0,203,42,177,8642,4
336.0,692.0,45,64,25,5745,9
36.0,694.0,101,108,38,5295,0
144.0,700.0,102,107,38,5295,0
202.0,712.0,37,80,30,12197,9
656.0,712.0,35,80,29,12197,9
660.0,712.0,37,82,30,12197,9
678.0,712.0,36,81,29,12197,9
660.0,714.0,38,81,29,12197,9
654.0,716.0,38,81,28,12197,9
798.0,716.0,102,105,39,5295,0
800.0,716.0,103,106,39,5295,0
6.0,720.0,37,82,29,12197,9
652.0,720.0,36,83,28,12197,9
624.0,724.0,35,80,30,12197,9
798.0,724.0,105,105,38,5295,0
646.0,726.0,38,81,28,12197,9
142.0,728.0,177,143,106,11386,14
324.0,730.0,189,26,171,1957,4
2.0,732.0,204,44,174,8642,4
440.0,736.0,222,126,159,9272,17
642.0,736.0,37,81,29,12197,9
604.0,744.0,38,80,30,12197,9
652.0,758.0,36,80,29,12197,9
548.0,760.0,36,80,29,12197,9
284.0,764.0,190,26,171,1957,4
306.0,768.0,190,26,169,1957,4
564.0,768.0,34,82,30,12197,9
554.0,772.0,35,81,29,12197,9
570.0,772.0,36,82,30,12197,9
250.0,774.0,189,27,173,1957,4
554.0,774.0,35,82,30,12197,9
558.0,782.0,36,80,29,12197,9
538.0,786.0,36,81,30,12197,9
540.0,788.0,35,82,30,12197,9
518.0,790.0,38,80,30,12197,9
