cluster_cluster,r,g,b,init_angle
0,99.1258816227501,96.19900694013428,61.6759013710997,0.0
1,17.343686354378818,204.27571283095722,24.39205702647658,0.15707963267948966
2,175.57011668853139,121.20513705723953,101.10384588828282,0.3141592653589793
3,161.34768160741885,49.172333848531686,135.61545595054096,0.47123889803846897
4,213.22633499170811,55.57021558872305,184.91276948590382,0.6283185307179586
5,239.95236151157152,195.62782271439872,167.37046770942308,0.7853981633974483
6,231.9025552187094,217.10275010827198,210.7905478562148,0.9424777960769379
7,212.60525182953077,204.94877313818338,87.67800258286698,1.0995574287564276
8,33.67645365572827,135.80023028209555,188.02533103051238,1.2566370614359172
9,35.46734773050562,73.19358593042804,27.110651321177638,1.413716694115407
10,175.62925627240142,91.22177419354838,38.49820788530466,1.5707963267948966
11,153.82851430329129,163.8994155644417,154.49538603506613,1.7278759594743862
12,10.622378839293482,42.70525537283564,6.309014182545898,1.8849555921538759
13,112.87637409098596,51.17875866734314,89.16996448503298,2.0420352248333655
14,212.13385494752623,159.47296664167916,127.88999250374813,2.199114857512855
15,117.13724088634739,121.65243030736241,99.90564689063616,2.356194490192345
16,76.19971721456345,50.26098739248262,35.691292565099566,2.5132741228718345
17,231.83924576542026,111.04090763822308,198.72994566954299,2.670353755551324
18,16.23583180987203,95.48446069469836,113.83729433272394,2.827433388230814
19,113.41327623126338,179.63811563169165,210.09850107066381,2.9845130209103035
