x,y,r,g,b,cluster,cluster_cluster
454.0,716.0,50,51,56,13325,15
284.0,718.0,58,59,69,5142,13
298.0,718.0,58,59,69,5142,13
662.0,718.0,112,8,36,4307,7
288.0,720.0,57,58,69,5142,13
296.0,720.0,58,59,69,5142,13
298.0,720.0,58,60,69,5142,13
302.0,720.0,58,59,69,5142,13
536.0,720.0,218,4,22,11745,16
300.0,722.0,58,59,69,5142,13
456.0,722.0,51,50,55,13325,15
284.0,724.0,58,59,69,5142,13
290.0,724.0,58,59,69,5142,13
294.0,724.0,58,59,69,5142,13
298.0,724.0,58,59,69,5142,13
280.0,726.0,59,60,69,5142,13
298.0,726.0,58,59,69,5142,13
560.0,728.0,113,7,35,4307,7
284.0,730.0,58,60,69,5142,13
282.0,732.0,58,58,69,5142,13
282.0,736.0,57,59,69,5142,13
284.0,736.0,57,58,69,5142,13
282.0,740.0,58,59,69,5142,13
284.0,742.0,58,60,69,5142,13
276.0,744.0,58,59,69,5142,13
98.0,746.0,223,217,197,11811,4
94.0,748.0,222,216,197,11811,4
96.0,748.0,223,217,199,11811,4
98.0,748.0,224,218,200,11811,4
94.0,750.0,222,217,198,11811,4
96.0,750.0,223,218,198,11811,4
98.0,750.0,224,217,199,11811,4
100.0,750.0,223,216,198,11811,4
102.0,750.0,224,216,198,11811,4
62.0,752.0,179,166,139,4085,5
64.0,752.0,179,166,138,4085,5
284.0,752.0,59,60,68,5142,13
306.0,758.0,59,59,68,5142,13
306.0,760.0,59,59,68,5142,13
114.0,764.0,179,167,140,4085,5
206.0,768.0,144,147,128,9788,5
274.0,770.0,58,61,68,5142,13
326.0,770.0,17,28,37,14653,11
206.0,772.0,143,147,126,9788,5
696.0,772.0,171,141,136,1782,5
312.0,776.0,52,51,54,13325,15
740.0,780.0,221,197,186,7157,1
616.0,782.0,66,10,25,7843,19
738.0,782.0,221,197,186,7157,1
284.0,784.0,52,51,55,13325,15
738.0,784.0,221,196,186,7157,1
22.0,786.0,177,165,140,4085,5
282.0,786.0,51,50,55,13325,15
740.0,786.0,221,196,186,7157,1
66.0,788.0,172,153,137,10457,5
284.0,788.0,52,51,55,13325,15
62.0,790.0,173,153,137,10457,5
64.0,790.0,172,152,137,10457,5
742.0,790.0,221,196,186,7157,1
62.0,792.0,172,153,137,10457,5
720.0,794.0,220,196,185,7157,1
722.0,794.0,221,196,186,7157,1
724.0,794.0,221,196,186,7157,1
726.0,794.0,221,196,186,7157,1
728.0,794.0,221,196,186,7157,1
730.0,794.0,221,196,186,7157,1
732.0,794.0,221,196,186,7157,1
734.0,794.0,221,196,186,7157,1
738.0,794.0,221,196,186,7157,1
740.0,794.0,221,196,186,7157,1
742.0,794.0,221,196,186,7157,1
18.0,796.0,179,166,140,4085,5
64.0,796.0,173,153,138,10457,5
724.0,796.0,221,197,185,7157,1
728.0,798.0,221,197,186,7157,1
720.0,800.0,221,197,185,7157,1
732.0,800.0,221,197,185,7157,1
734.0,800.0,221,197,185,7157,1
736.0,800.0,221,197,185,7157,1
738.0,800.0,221,197,185,7157,1
20.0,802.0,178,166,138,4085,5
734.0,802.0,221,197,185,7157,1
736.0,802.0,221,197,185,7157,1
738.0,802.0,221,197,185,7157,1
34.0,804.0,180,166,140,4085,5
36.0,804.0,177,166,140,4085,5
214.0,804.0,178,165,139,4085,5
734.0,804.0,220,197,185,7157,1
736.0,804.0,220,197,185,7157,1
738.0,804.0,221,197,185,7157,1
740.0,804.0,221,197,185,7157,1
736.0,806.0,221,197,185,7157,1
746.0,806.0,221,197,185,7157,1
748.0,806.0,221,197,185,7157,1
142.0,808.0,173,151,139,10457,5
742.0,808.0,221,197,185,7157,1
744.0,808.0,221,197,186,7157,1
746.0,808.0,221,197,186,7157,1
750.0,808.0,221,197,185,7157,1
142.0,810.0,173,151,139,10457,5
144.0,810.0,173,151,139,10457,5
