cluster_cluster,r,g,b,init_angle
0,158.59563745176786,126.2404913772738,95.61067800614222,0.0
1,227.93063520373164,196.34907394704348,166.54174783920976,0.15707963267948966
2,242.49792171804643,39.366989954970556,95.82230689296848,0.3141592653589793
3,123.55619973817093,107.81167009538059,75.32233027866093,0.47123889803846897
4,238.06526001515084,212.39008956820106,189.85651263312687,0.6283185307179586
5,164.8930430366891,158.31166687825313,117.17055985781388,0.7853981633974483
6,242.30131039472627,233.06724817107485,226.7290377039955,0.9424777960769379
7,119.12911809427268,16.446274708565635,34.852128737962495,1.0995574287564276
8,235.7275240728382,185.30927638478406,133.2251882924969,1.2566370614359172
9,190.48426150121065,34.39527845036319,73.35562953995158,1.413716694115407
10,248.71761280931585,98.08248423095584,139.41242115477922,1.5707963267948966
11,24.128271718097565,12.729147571035748,16.391740503106224,1.7278759594743862
12,197.01695873374788,173.07101469756924,143.8907574901074,1.8849555921538759
13,83.13886300093196,72.74557315936626,67.65945945945946,2.0420352248333655
14,245.61411905474125,7.969638049655997,49.27774454083159,2.199114857512855
15,48.187494184423564,38.59830650414069,43.29422164324928,2.356194490192345
16,190.80419910356215,4.526775182826138,24.302193913658883,2.5132741228718345
17,211.7678398450113,152.98999031320633,107.25540845979981,2.670353755551324
18,154.6518912529551,19.588652482269502,51.864657210401894,2.827433388230814
19,85.34885337039611,7.217859624739402,21.067407922168172,2.9845130209103035
