x,y,r,g,b,cluster,cluster_cluster
342.0,324.0,231,229,228,7930,10
802.0,326.0,177,186,148,9273,17
340.0,330.0,227,225,224,10564,10
984.0,330.0,91,62,51,14598,13
432.0,332.0,124,150,82,2905,9
542.0,332.0,223,138,114,7218,4
910.0,332.0,28,17,7,10129,8
984.0,332.0,92,64,53,14598,13
538.0,334.0,223,135,110,7218,4
940.0,334.0,27,15,7,10129,8
330.0,336.0,231,229,228,7930,10
436.0,336.0,125,152,85,2905,9
938.0,336.0,27,16,7,10129,8
328.0,338.0,233,229,227,7930,10
464.0,338.0,125,152,83,2905,9
940.0,338.0,28,16,9,10129,8
24.0,340.0,224,213,200,14011,2
464.0,340.0,125,153,82,2905,9
330.0,342.0,231,229,228,7930,10
464.0,342.0,125,152,83,2905,9
994.0,342.0,93,61,51,14598,13
330.0,344.0,232,230,228,7930,10
464.0,344.0,125,153,82,2905,9
994.0,344.0,93,61,51,14598,13
940.0,346.0,27,16,7,10129,8
994.0,346.0,92,60,50,14598,13
334.0,350.0,231,229,228,7930,10
336.0,350.0,228,226,226,10564,10
334.0,354.0,232,229,228,7930,10
338.0,354.0,227,226,225,10564,10
956.0,354.0,28,16,8,10129,8
994.0,354.0,90,60,49,14598,13
336.0,356.0,228,226,225,10564,10
332.0,358.0,231,229,228,7930,10
334.0,358.0,228,226,225,10564,10
660.0,364.0,118,94,70,7944,13
442.0,380.0,66,76,97,14802,16
60.0,388.0,223,213,200,14011,2
28.0,422.0,224,214,200,14011,2
346.0,422.0,67,77,97,14802,16
650.0,424.0,35,41,53,2721,5
918.0,424.0,29,13,7,10129,8
22.0,426.0,224,214,201,14011,2
650.0,426.0,35,41,53,2721,5
124.0,428.0,224,213,201,14011,2
130.0,428.0,223,213,200,14011,2
648.0,428.0,34,40,52,2721,5
650.0,428.0,35,41,53,2721,5
650.0,430.0,35,41,53,2721,5
134.0,432.0,222,215,200,14011,2
650.0,432.0,34,40,52,2721,5
382.0,434.0,0,6,9,8945,8
384.0,436.0,0,6,9,8945,8
770.0,436.0,121,96,70,7944,13
390.0,438.0,0,5,10,8945,8
844.0,440.0,121,93,70,7944,13
836.0,442.0,118,94,71,7944,13
338.0,452.0,221,186,187,11962,2
370.0,458.0,219,190,190,11962,2
68.0,462.0,224,214,200,14011,2
442.0,462.0,234,0,34,10852,1
584.0,464.0,233,0,35,10852,1
578.0,466.0,235,0,32,10852,1
578.0,468.0,234,0,34,10852,1
572.0,472.0,234,0,32,10852,1
576.0,472.0,233,0,36,10852,1
144.0,478.0,223,214,200,14011,2
144.0,480.0,223,214,200,14011,2
568.0,480.0,233,0,34,10852,1
80.0,498.0,209,199,185,2574,2
82.0,498.0,208,201,186,2574,2
312.0,504.0,218,187,188,11962,2
622.0,504.0,35,40,52,2721,5
624.0,506.0,34,40,52,2721,5
8.0,512.0,224,214,201,14011,2
76.0,512.0,209,200,185,2574,2
90.0,512.0,224,213,201,14011,2
12.0,514.0,223,215,200,14011,2
88.0,516.0,223,213,202,14011,2
982.0,516.0,91,63,48,14598,13
982.0,518.0,90,62,48,14598,13
982.0,520.0,92,63,50,14598,13
76.0,522.0,224,213,200,14011,2
86.0,522.0,223,213,201,14011,2
704.0,522.0,34,40,52,2721,5
22.0,526.0,209,199,185,2574,2
80.0,532.0,223,214,201,14011,2
80.0,534.0,223,214,202,14011,2
980.0,534.0,92,63,50,14598,13
86.0,536.0,224,214,201,14011,2
586.0,558.0,232,0,36,10852,1
438.0,580.0,0,3,11,8945,8
542.0,582.0,233,2,32,10852,1
672.0,584.0,0,6,9,8945,8
268.0,586.0,121,122,137,842,18
368.0,588.0,222,135,113,7218,4
654.0,598.0,233,0,34,10852,1
488.0,604.0,235,0,34,10852,1
48.0,614.0,209,200,186,2574,2
166.0,616.0,125,153,82,2905,9
992.0,624.0,223,213,202,14011,2
994.0,624.0,222,213,201,14011,2
338.0,626.0,0,4,11,8945,8
386.0,640.0,0,4,11,8945,8
408.0,654.0,0,3,11,8945,8
626.0,670.0,234,0,36,10852,1
516.0,684.0,1,5,11,8945,8
392.0,732.0,68,77,96,14802,16
374.0,734.0,218,185,187,11962,2
918.0,734.0,222,213,201,14011,2
390.0,736.0,68,77,96,14802,16
392.0,736.0,68,77,95,14802,16
394.0,736.0,69,78,98,14802,16
702.0,736.0,233,0,35,10852,1
918.0,736.0,222,213,201,14011,2
394.0,738.0,69,78,98,14802,16
378.0,740.0,217,185,186,11962,2
406.0,740.0,66,78,98,14802,16
394.0,742.0,68,80,97,14802,16
394.0,744.0,67,79,97,14802,16
398.0,748.0,67,78,97,14802,16
378.0,750.0,220,187,187,11962,2
396.0,750.0,68,77,96,14802,16
400.0,750.0,67,77,97,14802,16
722.0,750.0,232,0,35,10852,1
356.0,752.0,220,189,189,11962,2
406.0,752.0,67,77,99,14802,16
406.0,754.0,67,77,96,14802,16
394.0,756.0,66,77,98,14802,16
916.0,758.0,224,214,201,14011,2
292.0,766.0,66,76,99,14802,16
292.0,768.0,67,77,99,14802,16
292.0,770.0,67,77,99,14802,16
898.0,778.0,223,213,201,14011,2
384.0,780.0,217,185,185,11962,2
974.0,786.0,223,213,202,14011,2
958.0,788.0,223,213,202,14011,2
394.0,790.0,220,187,187,11962,2
402.0,790.0,34,42,54,2721,5
162.0,794.0,174,186,149,9273,17
162.0,796.0,173,185,149,9273,17
476.0,796.0,65,77,100,14802,16
958.0,800.0,223,213,200,14011,2
510.0,808.0,219,188,188,11962,2
