cluster_cluster,r,g,b,init_angle
0,201.22993267736925,112.93474883480062,92.82159502848265,0.0
1,239.0861076859844,4.022297575010275,45.94769831483765,0.15707963267948966
2,220.5005332738051,202.11801473323908,186.98149663913486,0.3141592653589793
3,122.75835475578405,14.00323172970988,38.47330150569225,0.47123889803846897
4,228.75095234064167,169.7225937526454,140.43291289257598,0.6283185307179586
5,57.60846617262889,55.01583408860692,37.32062696593272,0.7853981633974483
6,109.51905419679856,110.62102868286341,75.13008856748192,0.9424777960769379
7,152.50844945152684,88.82626741772903,54.79454491550548,1.0995574287564276
8,22.289026026294607,17.94129326536088,20.351596458277434,1.2566370614359172
9,142.2088500084933,147.00976728384578,96.26711397995584,1.413716694115407
10,239.62725779967158,234.68334629677642,230.9411459683692,1.5707963267948966
11,164.98955497879345,161.4500221561056,139.3824776856365,1.7278759594743862
12,240.42706720346857,50.874574171570146,94.5035614741406,1.8849555921538759
13,91.16691848906561,90.75332007952287,49.49844930417495,2.0420352248333655
14,246.63039621525724,94.94204612655234,131.50443524541691,2.199114857512855
15,170.9159130267462,41.1864537233019,67.4023475081778,2.356194490192345
16,72.02171791117618,67.56344558321132,74.58748169838945,2.5132741228718345
17,180.6770222743259,180.05468095796348,162.57293585664044,2.670353755551324
18,129.16564483166613,122.83403248359686,116.0323760352802,2.827433388230814
19,63.789408866995075,4.622624912033779,16.641449683321603,2.9845130209103035
